organizationName,,Link
Azria Health,AZWS,https://app.ninjarmm.com/agent/installer/7dbef0b6-13cf-418e-af40-e10fb7b7b18c/azriahealthazwswinterset-5.7.9157-windows-installer.msi
Beth Jacob School for Girls,BYDM,https://app.ninjarmm.com/agent/installer/aa883cef-ae54-4518-9a61-65f103afe2bf/bethjacobschoolforgirlsbydmbethjacobschoolforgirls-5.7.9157-windows-installer.msi
Big Horn HC,BRCC,https://app.ninjarmm.com/agent/installer/ebdd376f-8fcf-46a8-92f0-39ff4cc401b4/bighornhcbrccbighornrehab-5.7.9157-windows-installer.msi
Bonham Nursing Center,BNHM,https://app.ninjarmm.com/agent/installer/a70f1f1c-823a-4c8f-bfa5-e159fab4e5e9/bonhamnursingcenterbnhmbonhamnursing-5.7.9157-windows-installer.msi
Boosted Analytical,BASL,https://app.ninjarmm.com/agent/installer/bd25429a-fdc2-461d-9f4d-7a1ef7ab717a/boostedanalyticalbaslboostedcorporate-5.7.9157-windows-installer.msi
Boulevard Health Management,ATRB,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementatrbatriabuildersoffice-5.7.9157-windows-installer.msi
Boulevard Health Management,A37H,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementa37hatriabuilders37h-5.7.9157-windows-installer.msi
Boulevard Health Management,BLVB,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementblvbbrooklynboulevardalp-5.7.9157-windows-installer.msi
Boulevard Health Management,BLNH,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementblnhboulevardalpqueens-5.7.9157-windows-installer.msi
Boulevard Health Management,BLVDHQ,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementblvdhqcorporateoffice-5.7.9157-windows-installer.msi
Boulevard Health Management,BADC,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementbadcadultdaycare-5.7.9157-windows-installer.msi
Boulevard Health Management,RKHL,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementrkhlrockhallfunding-5.7.9157-windows-installer.msi
